city	dialect	source	target
Cairo	Egyptian	لا مؤاخذة . ممكن تقوللي امتى القطر حيسيب بوسطن؟	معذرة , هلا أخبرتني متى سيغادر القطار مدينة بوسطن ؟
Cairo	Egyptian	لو سمحت. ممكن نبدل الكراسي؟	معذرة . هل تمانع في أن تبادل المقاعد معي ؟
Cairo	Egyptian	متعودين نزور قرايبنا .	نزور أقاربنا كثيراً إلى حد ما .
Salt	Jordanian	احتياطاً، أعطيني رقم الشخص المسؤول.	لدينا ما يكفينا للاستمرار لمدة يومين .
Cairo	Egyptian	ده دقيق أد إيه؟	ما مدي دقة هذا ؟
Doha	Emirati	بغيت بير. شنو انواع البير اللي عندكم؟	أطلب بيرة . أي نوع من البيرة عندكم ؟
Doha	Emirati	اقترح حلق او بروش.	اقترح حلقاً أو مشبك زينة .
Cairo	Egyptian	خطر ان الواحد يروح سوهو؟	هل التوجه إلي سوهو خطير ؟
Doha	Emirati	"تعرف المطعم الصيني اللي اسمه ""دراغون"" هناك؟"	"هل تعرف مطعماً صينيا اسمه "" التنين "" هنا ؟"
Doha	Emirati	ممكن تحصل لي حاضنة اطفال؟	هل لك أن تجد لي جليسة أطفال ؟
Aswan	Egyptian	ممكن تقولي الاماكن المهمة اللي هنا؟	خاطف حقائب . أوقفه .
Doha	Emirati	في حمام عام قريب من هني؟	هل توجد غرفة استراحة عامة بالقرب من هنا ؟
Cairo	Egyptian	خليني أحول المكالمة دي للشخص المسئول.	دعني أحول هذه المكالمة إلى المسئول .
Cairo	Egyptian	امتى اخر مرة مارست فيها الجنس؟	متى كان آخر اتصال لك ؟
Aswan	Egyptian	بص على التعليمات اللي على علبة الأكل المفرغة من الهوا.	هل تحب أن تتناول مع البيض لحم خنزير مملح أو لحم من فخذ الخنزير ؟
Doha	Emirati	بغيت اسوي جيك اوت الساعة ثمان. ممكن تخبرني كم لازم ادفع لك؟	أريد المغادرة الساعة الثامنة . هل أخبرتني ما المبلغ المستحق علي ؟
Jerusalem	Palestinian	الكعب كتير عالي بالنسبة الي.	لا أستطيع أن أنام جيدا .
Cairo	Egyptian	مفيش غير عدد قليل من الكراسي الفاضلة في البلاكونة.	هنا قليل من المقاعد المتروكة في الحلقة الرسمية .
Doha	Emirati	مكالتمك وصلت.	تم الاتصال بمكالمتك .
Doha	Emirati	الحريم يكشخون.	النساء يرتدين ملابسهن .
Doha	Emirati	جوازي ضاع. احتاج واحد جديد.	لقد فقدت جواز سفري . وأحتاج إلى جواز سفر جديد .
Salt	Jordanian	تاريخ انتهاء الصلاحية هو شهر ثلاثة الف و تسعمية و تسعة و تسعين .	كان هناك حوالى ثلاثين دولاراً و بعض بطاقات الائتمان .
Cairo	Egyptian	الحوض مسدود .	الحوض مسدود .
Cairo	Egyptian	هي دي سجاير إنجليزي؟	هل هذا سيجار بريطاني ؟
Amman	Jordanian	مين بلعب؟	نعم ، أنا كذلك .
Cairo	Egyptian	المقاس ده، من فضلك .	هذا المقاس من فضلك .
Cairo	Egyptian	اعذرني، هو إنت عندك وقت؟	معذرة ، هل لديك الموعد ؟
Jerusalem	Palestinian	شو نوع الصوص؟	لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماًً .
Cairo	Egyptian	ده حيساعد .	هذا سيفيد .
Doha	Emirati	بغيت اخلي شناطي لي الساعة ثلاث.	أريدكم أن تحتفظوا لي بحقائبي حتى الساعة الثالثة .
Salt	Jordanian	انبسطت كثير .	هل يمكن أن نلعب بهذه الأحذية ؟
Cairo	Egyptian	عايز أبدل ميعاد طيارة شيكاجو من تسعة لحداشر .	أود أن أغير الرحلة الجوية إلى شيكاغو من التاسعة إلى الحادية عشر .
Cairo	Egyptian	هو ممكن آخد صورة طبق الأصل لصفحة غلاف؟	هل أستطيع الحصول على بيان تغطية الإرسال بالفاكس ؟
Cairo	Egyptian	عايز خيار مخلل صغير، إذا سمحت .	أريد بعضاً من الخيار المخلل ، من فضلك .
Cairo	Egyptian	عايز لمعة احذية .	احتاج بعض طلاء مسح الأحذية .
Salt	Jordanian	متى بتتوقع رح تبين؟	مما صنع هذا ؟
Amman	Jordanian	هي فاتورتك. بتطلع تلاتمية و سبعة وتسعين دولار.	هل لك أن تريني كيف تعمل فتاحة العلب الكهربائية هذه ؟
Cairo	Egyptian	ممكن تبعتلي عمل ادبي من مطبوعاتك الاخيرة؟	هل يمكن أن ترسل لي مطبوعات حول منتجكم الجديد ؟
Doha	Emirati	لازم تنتظر. بتنتظر؟	سيكون عليك أن تنتظر . هل تود الانتظار ؟
Amman	Jordanian	بدي دونت، لو سمحت.	هل لك أن تساعدني في الوصول إلى حقيبتي ؟
Cairo	Egyptian	انا مش عارف ازاي املا الاستماره ديه .	أنا لا أعرف كيف أملأ هذه الاستمارة .
Cairo	Egyptian	عايز أأجر مرشد بيتكلم ياباني لمده نص يوم .	أريد استئجار مرشد يتحدث اليابانية لمدة نصف يوم .
Doha	Emirati	شرفع هذاك الجبل؟	كم يبلغ ارتفاع هذا الجبل ؟
Doha	Emirati	ابغي غوري ماي مغلي.	أريد إناءاً من الماء المغلي .
Doha	Emirati	ممكن تاخذ هالانواط وتعطيني اصغر منهم؟	هل تفضلتم بتحويل هذه الفاتورة إلى فواتير أصغر ؟
Cairo	Egyptian	ممكن ترشحلي مطعم صيني كويس قريب من هنا؟	هل من الممكن أن ترشح مطعما صينيا جميلا قريب من هنا ؟
Doha	Emirati	قعدني حق الوجبات.	أيقظني عند الوجبات .
Aswan	Egyptian	فين اقرب مطعم من الفندق ده؟	أريد عصيراً ، من فضلك .
Cairo	Egyptian	مش متأكد إن الجيبة دي مناسبة من عند الوسط.	لست متأكدا ما إذا كان مقاس هذه الجيبة مناسبا في منطقة الوسط .
Salt	Jordanian	اوك . رح احكي معك بس يجهزو .	هل لديك بيرة يابانية ؟
Alexandria	Egyptian	هما دول ليفايز خمسمية وواحد أصليين؟	من فضلك أعطني إيصالاً لشركة التأمين .
Aswan	Egyptian	من باب الإحتياط، إديني رقم الشخص المسئول.	لدينا ما يكفينا للاستمرار لمدة يومين .
Jerusalem	Palestinian	بس عندي موعد اني أشوفها على الساعة تنتين.	من هو مؤلف المسرحية ؟
Cairo	Egyptian	ممكن تقولنا إزاي قيمت البرنامج ده؟	هل من الممكن أن تخبرنا كيف تقيم هذه الخطة ؟
Cairo	Egyptian	الاول، حاركب على خط تشو . فين مفروض أغير القطر؟	أولا ، اسلك خط تشو . وفى أي مكان يتعين علي أي أغير القطارات ؟
Doha	Emirati	شلون أهلك؟	كيف حال أسرتك ؟
Cairo	Egyptian	معاك ظرف تاني؟	حصلت على مظروف أخر ؟
Aswan	Egyptian	ممكن أتغدى دلوقتي؟	هل يمكن أن تكتب لي بلاغ عن سرقة شركة التأمين الخاصة بي ، من فضلك ؟
Cairo	Egyptian	ديه أوضه سبعميه سبعه و اربعين . عندكم كوكتيلات ايه؟	هذه غرفة سبعة سبعة وأربعين . ما هو نوع الكوكتيل الذي تقدموه ؟
Cairo	Egyptian	لذيذ .	لذيذ .
Aswan	Egyptian	مثلاً، تعرف أي حاجة تستاهل أن الواحد يشوفها قريب من هنا؟	أنا في إجازة .
Cairo	Egyptian	إمتى ده حيرجع؟	إلى أين يرجع ؟
Doha	Emirati	تذكرتين درجة أولى، لو سمحت.	تذكرتان للدرجة الأولى ، من فضلك .
Aswan	Egyptian	ده تقريباً على بعد تسعة وتسعين ميل.	لن أنس أبداً الوقت الذي أمضيناه سوياً تحت الشجرة في يوم صيفي مشرق .
Cairo	Egyptian	ديه حاجه تبسطني . انا بأخطط اعمل جولة اشوف معالم البلد و اشوف اصحاب من زمان ليا .	متعة . أخطط أن أقوم برؤية المعالم وزيارة بعض الأصدقاء القدامى .
Doha	Emirati	عيل، لو سمحت مل استمارة التقديم هذي ووقعها.	إذن ، من فضلك املأ نموذج الطلب هذا ووقعه .
Doha	Emirati	ابغيكم تنتبهون على القسم الفوقي جهة اليمين من الورقة اللي عطيتكم اياها.	أود أن ألفت نظرك إلى القسم الأيمن الأعلى من الورقة التي أعطيتها لك لتوي .
Cairo	Egyptian	فين مكان ممكن يكون في محلات ماركات؟	دلني على منطقة بها محلات لتصميم العلامات .
Cairo	Egyptian	البنك بيفتح إمتى؟	متى يفتح المصرف ؟
Doha	Emirati	اوه، صج؟ خذ شي؟	آه ، حقا ؟ هل أخذ أي شيء ؟
Cairo	Egyptian	ايه المنتج اللي المنطقة ديه مشهورة بيه؟	ما هي المنتجات المحلية لهذه المنطقة ؟
Doha	Emirati	فيني فيروس.	عندي فيروس .
Doha	Emirati	لو سمحت انتظر عشان يقعدونك.	من فضلك انتظر حتى يتم إجلاسك .
Doha	Emirati	هذي واجد غالي.	هذا مكلف نوعا ما .
Doha	Emirati	ممكن تعطيني المنيو؟	هل لي بقائمة طعام ؟
Doha	Emirati	ممكن تقول لي وين اقرب بنك؟	هل يمكنك أن تخبرني أين أقرب مصرف ؟
Doha	Emirati	شكراً، بس ابغي افكر فيها.	شكراً ، لكنني أريد أن أمعن التفكير فيها .
Cairo	Egyptian	خد ده لأخر محطة . من هناك تروح الاوتيل مع نفسك .	خذ هذا حتى المحطة . من هناك عليك أن تذهب إلى الفندق على قدميك .
Cairo	Egyptian	لازم أجيب شوية تذاكر.	يجب أن أحصل على بعض التذاكر .
Aswan	Egyptian	أنهى أتوبيس بيروح لوسط البلد؟	لن أجد شيئا مثل هذا في اليابان . سوف اشتريها .
Alexandria	Egyptian	أنا هاخد سبرايت كبيرة.	خمسة وعشرين دولاراً شاملة أجرة الحافلة ، ومصاريف المرشد والدخول .
Jerusalem	Palestinian	لازم نلتقي ببعض كمان مرة أكيد.	أي من هذه الأحذية للبيع ؟
Alexandria	Egyptian	أه، أفتكر كدة.	هل يوجد أدوات التزلج بالقرب من هنا ؟
Doha	Emirati	ناشف.	جاف .
Cairo	Egyptian	انا مش عايزة لو بالسعر ده .	لا أريدها بهذا السعر .
Amman	Jordanian	ناكاي.	استدع شخصاً يتحدث اليابانية .
Cairo	Egyptian	دول ضيقين شوية.	إنه ضيق قليلاً .
Amman	Jordanian	من أي مكان بتطلع باصات المعالم السياحية؟	سأشارك في جولة نيويورك التي ستكون بطائرة مروحية .
Cairo	Egyptian	عندي امساك .	أنا مصاب بالإمساك .
Cairo	Egyptian	مش هاينفع تعمل دايت مع نحافة جسمك دي.	لا يمكنك أبدا أن تقوم بعمل رجيم و أنت نحيف الجسم بهذه الصورة .
Cairo	Egyptian	ديه أوضه ميتين وواحد . عايز اطلب فطار لبكرة .	هذه الغرفة اثنان صفر واحد . أريد أن أطلب إفطار الغد .
Cairo	Egyptian	فين محطة البنزين؟	أين محطة البنزين ؟
Doha	Emirati	في ارشادات الاستعمال؟	هل توجد أي تعليمات عناية ؟
Doha	Emirati	شفت كوت اسود هني؟	هل رأيت معطفاً أسود هنا ؟
Cairo	Egyptian	عندنا المنتج الجديد ده اللي مصمم للستات اللي بتشتغل.	لدينا هذا المنتج الجديد المصمم للنساء العاملات .
Cairo	Egyptian	ازيك؟ ده بتاع أستاذ كلارك؟	مرحباً . هل هذا السيد كلارك ؟
Salt	Jordanian	رح استنى حتى يصير في مجال على الترس .	أريد لعبة لبنت عمرها خمس سنوات .
Cairo	Egyptian	ممكن ترقص معايا؟	هل ترقصين معي ؟
Doha	Emirati	عطيتك مية دولار نوط.	أعطيتك ورقة بمائة دولار .
Doha	Emirati	بغيت تحويلة اربعة وعشرين لو سمحت.	أريد الامتداد أربع وعشرون ، من فضلك .
Alexandria	Egyptian	خلى بالك من الحفرة، خلى بالك من الحفرة، وبعدين قريب من الأبواب، من فضلك.	كم تستغرق كي تصل إلي اليابان ؟
Jerusalem	Palestinian	هدا المكان مليان ناس، صح؟	ينبغي ألا أشرب أي شيء يحتوي على ملح .
Salt	Jordanian	بس مش المطاعم اليابانية ب كيوتو غالية؟	هل لديك علم ما إذا كان هذا المطعم يتطلب حجزاً ؟
Jerusalem	Palestinian	بتقدر تفرجيني تاني خاتم على اليمين؟	لا أستطيع أن أجدها .
Cairo	Egyptian	تعرف أي أماكن كويسة ينفع أقعد فيها في شيكاغو؟	هل تعرف أية أماكن حيدة للإقامة فيها في شيكاغو ؟
Cairo	Egyptian	معاك أي حاجة خفيفة ناكلها؟	هل معك شيء تأكله في الطريق ؟
Cairo	Egyptian	مش بيدفع علشان يشتري الحاجات الرخيصة .	لا يجدي شراء الأشياء الرخيصة .
Cairo	Egyptian	بتسحب فلوس إزاي؟	كيف تسحب نقوداً ؟
Doha	Emirati	الحين أصعب من السنة اللي راحت.	أشد صعوبة من العام الماضي .
Cairo	Egyptian	هو ممكن تعمل خصم لوقعدت لمدة ليلتين؟	هل يمكنك عمل خصم في حالة الإقامة ليلتين ؟
Doha	Emirati	اي، بس تأكد ان تكون معاك ذكرتك.	نعم ، ولكن تأكد أن تذكرتك معك .
Cairo	Egyptian	حناخدك من قدام الفندق.	سنأتي ونأخذك من أمام الفندق .
Doha	Emirati	اوكي. باخذ ثنتين بس. مشكور.	حسناً . سوف أخذ اثنين فقط . شكراً .
Doha	Emirati	الظن لازم تبتدي رجيم. انت ما تتمرن واجد هالأيام، صح؟	أعتقد أنه يجب عليك اتباع نظام غذائي . إنك لا تقوم بتمارين رياضية كافية هذه الأيام ، أليس كذلك ؟
Cairo	Egyptian	يوصل بورتلاند ع الضهر.	سوف يصل إلى بورتلاند عند الظهيرة .
Jerusalem	Palestinian	احنا بنطير تلات مرات في الاسبوع، التلاتا، الجمعة و السبت.	نعم ، كل عشر دقائق .
Doha	Emirati	ممكن اطلب كاس واين؟	هل لي أن أطلب كأس نبيذ ؟
Jerusalem	Palestinian	أوه، جد؟ كيف حبيتها؟	آسف , إنها محجوزة بالكامل لموسم أجازات عيد الميلاد ، لكن عندنا مقعد واحد في الثاني والعشرين من ديسمبر .
Aswan	Egyptian	إحنا هنط من هنا؟	رحلة تماسيح ؟ هل هذه مزحة ؟
Doha	Emirati	هو في نفس جهة ذاك المبنى؟	هل هذا في نفس الاتجاه مثلما الحال مع المبنى ؟
Doha	Emirati	لو سمحت ضيق ريل البنطلون وخلها بدون كفسات.	من فضلك ضيّق سيقان البنطلون قليلاً و اجعله بدون ثنيات .
Cairo	Egyptian	إبعته اكسبريس، لو سمحت.	أرسلها بالبريد السريع من فضلك .
Cairo	Egyptian	حاسس ببرد وغثيان. فيه كرسى ارتاح عليه؟	أنا مصاب برجفة وغثيان . هل يوجد مقعد أرقد عليه ؟
Cairo	Egyptian	مفيش جينز أو تيشرتات، لو سمحت.	لا سراويل جينز ولا قمصان بأكمام قصيرة .
Alexandria	Egyptian	هو إزاى المنتج الجديد دة يتقارن مع المنتج الحالى؟	يمكنك ملء الروشته في الصيدلية في الدور الرئيسي .
Doha	Emirati	انا وايد اقدر الموسيقى الكلاسيكية.	لدي تقدير كبير للموسيقى الكلاسيكية .
Cairo	Egyptian	في ديسكوتك قريب من هنا؟	أين منضدة الروليت ؟
Cairo	Egyptian	نسيت شنطة إيدي.	لقد نسيت أن آخذ حقيبتي اليدوية .
Doha	Emirati	انت واجد ساعدت.	لقد ساعدت حقيقةً .
Doha	Emirati	عادي بس ناخذ حلو؟	هل يكون مقبولاً لو أخذنا الحلوى فقط ؟
Cairo	Egyptian	عايز شريحة لحم الخنزيز.	أود تناول شريحة من فخذ الخنزير .
Doha	Emirati	سويت موعد حق اشوف الرئيس الساعة عشر.	لقد حددت العاشرة مساء ميعادا للقاء الرئيس .
Alexandria	Egyptian	أوه، أوكى. فاهم. انا هاجى مكانك.	لم يفتح الباب بهذا المفتاح .
Cairo	Egyptian	عايزة تشتري فستان .	تريد أن تشتري ثوبا .
Jerusalem	Palestinian	متأسف، ما بنبيع تزاكر للمسرح.	لاحظ الفجوة ، لاحظ الفجوة ، ثم قرب الأبواب ، من فضلك .
Cairo	Egyptian	إيه أكتر مكان مرشح للزيارة؟	أين المكان الذي يوصي الأكثرية بزيارته ؟
Cairo	Egyptian	عايز أغسل اديدا . فية اى اوضة أقدر أغسل ايديا فيها؟	أريد غسل يدي . هل توجد غرفة أغسل فيها يدي ؟
Amman	Jordanian	لو سمحت طلعه مع الأغراض اللي اشتريتهم لجمارك المطار.	ما هي أسرع وجبة ؟
Salt	Jordanian	راح نروح بالباص؟	لك جزيل الشكر ، كنت أود أن أحضر ولكني أخشى أن يكون لدي موعد آخر .
Doha	Emirati	ممكن تعطيني فيتامينات؟	هل يمكنني الحصول علي بعض الفيتامينات ؟
Jerusalem	Palestinian	كيف لقيت الفكرة؟ احنا بنقبل شرطك لست أشهر بشرط انك تعطينا الصلاحية نبيعة بعد ست أشهر من تاريخ انتهاء العقد.	عندي تذكرة لديدرويت تغادر الساعة الحادية عشر صباحاً .
Alexandria	Egyptian	أنا أرشح دة علشان معمول من مواد طبيعية مية فى المية.	هل ترغب في تناول لحم بقري ، دجاج ، أم أسماك ؟
Doha	Emirati	ممكن ترسل هذي؟	هل يمكنك أن ترسل هذا بالبريد ؟
Cairo	Egyptian	ممكن تشيل الشنط دي، لو سمحت؟	هل لك أن تحمل هذه الأمتعة من فضلك ؟
Doha	Emirati	ممكن تساعدني، لو سمحت؟	هلاّ ساعدتني ، من فضلك ؟
Amman	Jordanian	كم كله مع بعض؟	لا أفهم الإنجليزية الأمريكية ، إنما أتحدث الإنجليزية الراقية .
Cairo	Egyptian	امتي حتبتدوا اوكازيون المبيعات المعفاة من الجمارك؟	متى ستبدأ مبيعاتك المعفية من الرسوم ؟
Cairo	Egyptian	ايوه . عايز أجرب سمك السنابر الاحمر، بس طعمة مش حراق شويه؟	"نعم . أريد أن أجرّب سمكة "" النهاش "" الحمراء ، ولكن هل هي حريفة جداً ؟"
Doha	Emirati	شكبر موقع المصنع، بالمتر؟	كم مساحة موقع المصنع ، بقياسات مترية ؟
Cairo	Egyptian	هو انا لازم اغير الاوتوبيس علشان اروح لسنتر لينكولن؟	هل يجب علىّ أن أغير الحافلة للذهاب إلى مركز لنكولن ؟
Cairo	Egyptian	في محل هدايا قريب من هنا؟	هل ثمة محل هدايا تذكارية بالقرب من هذا المكان .
Cairo	Egyptian	اوه، ده شكله كتير .	أوه , يبدو كأنه قرعة .
Doha	Emirati	انزين، الوقت يتأخر. لازم امشي الحين. شكراً على هالليلة الحلوة.	حسنا , الوقت متأخر إلى حد ما . أعتقد أنني يجب على أن أغادر الآن . شكرا جزيلا لك على الأمسية الرائعة .
Cairo	Egyptian	إيه أقصى طول للطرد البريدي؟	ما هي أقصى فترة لبريد الطرود ؟
Alexandria	Egyptian	أنا عاوز واحد عصرى.	يمكننا أن نفحص أغراضنا هنا .
Cairo	Egyptian	لأ، انت خمنت صح . انا اتطلقت من ست شهور .	لا ، لقد خمنت صواباً . لقد طلقت من حوالي ستة أشهر .
Doha	Emirati	نحتاج عربون للسيارة.	نحتاج رهن للعربة .
Cairo	Egyptian	يلا. قول عليه.	هيا . انطقها فجأة وحسب .
Jerusalem	Palestinian	لازم أحول على أو واحد صفر صفر. في مجال؟	سوف أعطيك عقار مسكن للألم .
Doha	Emirati	لا. كنت مستعجل. شسوي؟	كلا كنت في عجلة من أمري . ماذا أفعل ؟
Cairo	Egyptian	الجو برد، مش كده؟	إنها باردة ، أليس كذلك ؟
Cairo	Egyptian	أنا عندي حجز، أكي ياما.	لدي حجز يا أكياما .
Jerusalem	Palestinian	عادي انو ولا حدا عم يسمع لتعليمات الأمان؟	هل يذهب هذا الليموزين إلى فندق بالاس ؟
Cairo	Egyptian	ممكن توريلي الخاتم ده؟	هل يمكن أن تريني هذا الخاتم ؟
Jerusalem	Palestinian	رح أخد شوت من جاك دانييل.	إنني أنوي قضاء الإجازة في وسط المدينة حتى الخامس من شهر مايو .
Doha	Emirati	اي دورة حق المبتدئين؟	أي دورة للمبتدئين ؟
Doha	Emirati	بغيت ثياب رياضة، لو سمحت.	أريد بعض الملابس الرياضية , من فضلك .
Doha	Emirati	اذا تشتري هذي بعد، بيصير بسعر السوق الحرة.	إذا اشتريت هذا أيضا , فستعمل للمبلغ الذي يعفي من الرسوم .
Doha	Emirati	عندك شي غير؟	هل لديك شيء آخر ؟
Doha	Emirati	جوازي بينتهي في اسبوعين.	تنتهي مدة جواز سفري في أسبوعين .
Doha	Emirati	عندك شي ثاني بثمانين دولار تقريباً؟	هل لديكم أي شئ آخر في حدود ثمانين دولار ؟
Alexandria	Egyptian	طبعا لازم نتقابل تانى.	أي من هذه الأحذية للبيع ؟
Cairo	Egyptian	لو سمحت إديلى عنوانك عشان لو حصل حاجة طارئة.	من فضلك أخبرني بعنوان المراسلة عليك في حالة الطوارئ .
Doha	Emirati	بغيت كرسي لغير المدخنين، لو سمحت.	أود الحصول على مقعد في مكان غير مسموح به بالتدخين , من فضلك .
Amman	Jordanian	كم عمر هاد الولد؟	من فضلك أكمل البيانات الناقصة في التقرير .
Alexandria	Egyptian	معاك أتوبيس من المطار؟	هذه السيدة كاوازو في غرفة رقم ستة عشر أحدى عشر .
Cairo	Egyptian	من فضلك إديني اللي على الرف دي.	من فضلك أعطني تلك التي على الرف .
Doha	Emirati	شكثر بتم في المانيا؟	كم المدة التي ستمكثها في ألمانيا ؟
Amman	Jordanian	عندك دخان؟	سآخذ هذا وهذا .
Doha	Emirati	كلهم مطبوعين.	هذه كلها مطبوعات .
Doha	Emirati	تحتاج مساعدة؟	هل تريد أي مساعدة ؟
Doha	Emirati	ممكن تقعدني الساعة سبع الصبح؟	من فضلك ، أيقظني في السابعة من صباح غد .
Cairo	Egyptian	ممكن تقكر ايه اللي ممكن اقولهوله؟	هل يمكنك أن تفكر فيما يجب على أن أقول له ؟
Cairo	Egyptian	بأذاكر علشان اكون عالم .	أنا ادرس لكي أصبح عالم .
Cairo	Egyptian	عايزه أنسيال.	أريد سوار سلسلة .
Cairo	Egyptian	عايز ده .	أريد هذه .
Cairo	Egyptian	قول.	هيه .
Doha	Emirati	لو سمحت ورني هذول اللي تسمونهم لعب تعليمية.	من فضلك أرني بعضاً مما يسمى الألعاب التعليمية .
Doha	Emirati	كنسل الابالون من طلبنا. واجد غالي.	من فضلك ، استبعد أذن البحر من طلبنا . إن ثمنه مرتفع للغاية .
Doha	Emirati	بيقفض؟	هل سينكمش ؟
Cairo	Egyptian	عندك عده خياطة؟	هل تملك عدة للخياطة ؟
Doha	Emirati	بنسوي حفلة في بيتنا الأسبوع الجاي. تقدر تجي مع زوجتك.	سنقيم حفلة صغيرة في منزلي الأسبوع القادم . تُرى ، هل ستستطيع الحضور مع زوجتك ؟
Cairo	Egyptian	فين أقدر أصلح ساعتي؟	أين يمكنني إصلاح ساعتي ؟
Doha	Emirati	يصير اخذ خبز اللحم، وألغي طلب الستيك؟	هل يمكن أن أتناول اللحم المقطع و الغي شريحة اللحم التي قد طلبتها ؟
Doha	Emirati	بغيت مسجل، لو سمحت.	أريد جهاز تسجيل وراديو من فضلك .
Cairo	Egyptian	واحد كينت، من فضلك.	واحدة . كنت ، من فضلك .
Doha	Emirati	مو بعيد؟	ليس بعيدا ؟
Cairo	Egyptian	ممكن تملا الاستمارة ديه، من فضلك؟	هل يمكنك أن تملأ هذه الاستمارة ، من فضلك ؟
Cairo	Egyptian	لو سمحت ابعت الشنط كشنط منفصلة منغير صاحب.	من فضلك أرسل هذه كأمتعة لا يرافقها صاحبها .
Doha	Emirati	اي، عندنا. شنو النوع اللي تبغيه؟	أجل ، لدينا منها . ما النوع الذي تريده ؟
Jerusalem	Palestinian	حبينا العشا.	هل قمت بوضع طابع بريد على الكارت البريدي .
Doha	Emirati	عندك جدول الألوان؟	هل معك خريطة ملونة ؟
Doha	Emirati	ممكن تعطيني وصفة هذي؟	هلاّ أعطيتني الوصفة الدوائية لذلك ؟
Salt	Jordanian	ما بدك توخذ كاسة شاي؟	هل يمكننا تناول طبق من فضلك ؟
Cairo	Egyptian	انا كويس جدا. .بس ممكن من غير مؤاخذه تكلم صاحبي؟	أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق ؟
Doha	Emirati	انا ضعيف في التصوير. أحس الكيمرات البسيطة أحسن لي.	بما أنني غير ماهر باستخدام الكاميرا . فأنا أعتقد أن كاميرا سهلة الاستعمال ربما تكون الأفضل لي .
Cairo	Egyptian	ساعات بطني بتوجعني.	تؤلمني معدتي أحياناً .
Cairo	Egyptian	آخر قطر إمتى؟	متى يقوم آخر قطار ؟
Doha	Emirati	هذي موديلنا الجديد. نسميه كمبيوتر الأحلام.	هذا هو نموذجنا الجديد . نطلق عليه كمبيوتر الأحلام .
Jerusalem	Palestinian	أنا كتير متأسف، بس حابب أأجل الموعد.	نعم ، فعلت . ذهبت الأحد الماضي مع صديق .
Alexandria	Egyptian	أنا ضيعت تذكرة الطيران بتاعتى.	لديك حاسة فنية .
Amman	Jordanian	على الشمال، لو سمحت.	هل أستطيع أن أطلب بيتزا كبيرة بالجبن ؟
Jerusalem	Palestinian	لو سمحت اتأكد كمان مرة.	ليس تماماً . فقط شيء ما غير غالي الثمن .
Cairo	Egyptian	ممكن طفاية سجاير؟	أريد مطفأة سجائر .
Cairo	Egyptian	العربية ديه رايحة باريس؟ مش كده؟	هذه السيارة تذهب إلى باريس ، أليس كذلك ؟
Cairo	Egyptian	انا ما اعرفش المبنى ده . بس دية أكيد السكة المظبوطة لحى اوياما .	إنني لا أعرف هذا المبنى ، ولكن هذا هو الطريق الصحيح إلى مقاطعة آوياهما بالتأكيد .
Amman	Jordanian	وين مكتب الممتلكات المفقودة؟	هل ممكن أن تحف شعري نصف بوصة فوق الحاجب ؟
Doha	Emirati	الباص حق إل باسو بيمشي على الوقت؟	هل الحافلة المتجهة إلى الباسو ستغادر في موعدها المحدد ؟
Jerusalem	Palestinian	متأسف الكمام كتير قصار.	توقف في هذا الجانب من التقاطع القادم , من فضلك .
Cairo	Egyptian	حأكتبلك .	سأكتب لك .
Doha	Emirati	لو سمحت تجنب الآتي.	من فضلك تجنب ما يلي .
Doha	Emirati	بس لحظة، لو سمحت. بوصلك بسيد جونز.	لحظة فقط , من فضلك . سأوصلك بالسيد جونز .
Cairo	Egyptian	عايز اكل بيبيهات .	أحب بعض طعام الأطفال .
Doha	Emirati	اي، بتأكد ان هذي يوصل له.	نعم ، سأتأكد انه يحصل على هذه .
Doha	Emirati	شنو الصوص اللي تبغيه؟	ما نوع التتبيلة الذي تريدها ؟
Cairo	Egyptian	ممكن اروح هناك مشى؟	هل يمكنني الذهاب إلى هناك سيراً ؟
Jerusalem	Palestinian	عندك مانع ازا بقعد هون؟	سأقوم بتسجيل الدخول في تمام الساعة الثامنة مساءاً تقريباً .
Alexandria	Egyptian	ممكن تقوللى إزاى أوصل المتحف؟	ميكي هاياكاوا . هذه غرفة سبعة صفر اثنين .
Doha	Emirati	هو ثور من شارع فرعي وما قدرت اتفاداه.	فاجئني بالظهور من شارع جانبي ولم يكن لدي الوقت كي أتجنبه .
Cairo	Egyptian	بكرة.	الغد .
Doha	Emirati	مشيت سيارتي في حفرة.	لقد اصطدمت بسيارتي في حفرة .
Alexandria	Egyptian	ممكن أكلم الآنسة براون؟	أود تناول فنجاناً آخر من القهوة .
Jerusalem	Palestinian	طيب، هو غالي. مش مصنوع في اليابان، صح؟	هل لديك وقت الليلة ؟
Doha	Emirati	كرسي على الدرجة السياحية للوس انجيلوس، لو سمحت.	مقعد في الدرجة الاقتصادية إلى لوس انجلوس ، من فضلك .
Doha	Emirati	هذيلا انواع من السندويجات.	هذه أصناف من الساندويتشات .
Cairo	Egyptian	هاتقعد هنا أد إيه؟	كم من الوقت ستقضي هنا ؟
Doha	Emirati	عندك غرفة حق اربعة؟	هل لديكم غرفة لأربعة ؟
Doha	Emirati	في عرض كبير حق موسيقى الروك؟	هل هناك حفل كبير لموسيقي الجاز ؟
